#{"t_start": 1671014251.9923966, "env_id": "CartPole-v0"}
r,l,t
18.0,18,0.130104
20.0,20,0.146312
15.0,15,0.154865
40.0,40,0.1732
36.0,36,0.188827
20.0,20,0.220083
18.0,18,0.252961
9.0,9,0.261025
18.0,18,0.278821
41.0,41,0.295024
13.0,13,0.310717
12.0,12,0.310717
24.0,24,0.32635
29.0,29,0.341984
14.0,14,0.341984
22.0,22,0.3576
23.0,23,0.374272
52.0,52,0.406547
15.0,15,0.406547
70.0,70,0.457337
18.0,18,0.457337
26.0,26,0.476864
20.0,20,0.492541
13.0,13,0.492541
91.0,91,0.555086
10.0,10,0.555086
13.0,13,0.555086
19.0,19,0.570668
27.0,27,0.586343
12.0,12,0.586343
37.0,37,0.617576
27.0,27,0.633233
24.0,24,0.648789
12.0,12,0.655835
36.0,36,0.671975
9.0,9,0.687628
18.0,18,0.687628
16.0,16,0.720015
34.0,34,0.735818
11.0,11,0.751434
15.0,15,0.751434
36.0,36,0.767075
16.0,16,0.791879
42.0,42,0.86085
20.0,20,0.86085
20.0,20,0.888119
25.0,25,0.896121
35.0,35,0.922848
17.0,17,0.922848
16.0,16,0.938488
40.0,40,0.954114
24.0,24,0.969739
12.0,12,0.969739
16.0,16,0.985651
16.0,16,0.994796
48.0,48,1.034629
20.0,20,1.066897
12.0,12,1.066897
17.0,17,1.08248
27.0,27,1.098155
29.0,29,1.113776
14.0,14,1.113776
14.0,14,1.129393
52.0,52,1.160603
21.0,21,1.176224
18.0,18,1.191848
36.0,36,1.22315
36.0,36,1.238751
15.0,15,1.254393
12.0,12,1.254393
17.0,17,1.270019
20.0,20,1.285645
11.0,11,1.285645
15.0,15,1.301268
74.0,74,1.342127
22.0,22,1.350121
19.0,19,1.35835
36.0,36,1.383069
22.0,22,1.391052
24.0,24,1.406848
25.0,25,1.422528
11.0,11,1.422528
16.0,16,1.438149
20.0,20,1.438149
14.0,14,2.846035
31.0,31,2.878079
20.0,20,2.894125
16.0,16,2.918127
23.0,23,2.934141
15.0,15,2.943337
31.0,31,2.959015
34.0,34,2.974642
15.0,15,2.990212
59.0,59,3.021461
29.0,29,3.037086
74.0,74,3.069043
40.0,40,3.100316
22.0,22,3.100316
116.0,116,3.178428
19.0,19,3.194048
26.0,26,3.209681
15.0,15,3.209681
19.0,19,3.225293
27.0,27,3.240926
62.0,62,3.272162
13.0,13,3.272162
15.0,15,3.287801
15.0,15,3.287801
11.0,11,3.307402
14.0,14,3.315741
44.0,44,3.357255
47.0,47,3.407082
16.0,16,3.415079
24.0,24,3.451335
16.0,16,3.469741
17.0,17,3.477902
14.0,14,3.493596
25.0,25,3.509239
44.0,44,3.526179
19.0,19,3.541853
13.0,13,3.541853
40.0,40,3.573112
17.0,17,3.573112
25.0,25,3.588746
40.0,40,3.619987
11.0,11,3.619987
16.0,16,3.635637
27.0,27,3.635637
18.0,18,3.651239
68.0,68,3.683803
64.0,64,3.730745
13.0,13,3.730745
92.0,92,3.77898
52.0,52,3.81022
27.0,27,3.825857
27.0,27,3.841479
11.0,11,3.841479
53.0,53,3.882264
29.0,29,3.898266
13.0,13,3.906393
61.0,61,3.938226
20.0,20,3.938226
42.0,42,3.970809
29.0,29,3.989892
24.0,24,4.006505
54.0,54,4.037868
42.0,42,4.0535
14.0,14,4.069124
15.0,15,4.069124
26.0,26,4.084749
14.0,14,4.100637
12.0,12,4.100637
20.0,20,5.469521
42.0,42,5.502427
63.0,63,5.550503
200.0,200,5.688322
146.0,146,5.767818
181.0,181,5.861516
18.0,18,5.878082
26.0,26,5.894132
98.0,98,5.937912
92.0,92,5.986542
22.0,22,6.00217
57.0,57,6.033417
95.0,95,6.083444
101.0,101,6.140722
65.0,65,6.171972
79.0,79,6.21882
29.0,29,6.234452
77.0,77,6.287905
60.0,60,6.319168
92.0,92,6.366074
22.0,22,6.382682
35.0,35,6.406585
83.0,83,6.440162
123.0,123,6.53495
68.0,68,6.581834
200.0,200,8.117823
200.0,200,8.257261
111.0,111,8.335961
87.0,87,8.455855
14.0,14,8.470659
200.0,200,8.59583
82.0,82,8.65903
200.0,200,8.773151
118.0,118,8.851347
142.0,142,8.938655
126.0,126,9.003536
195.0,195,9.113301
192.0,192,9.207045
187.0,187,9.326752
55.0,55,9.342608
190.0,190,10.721163
200.0,200,10.832435
200.0,200,10.9382
200.0,200,11.049731
200.0,200,11.16124
200.0,200,11.270608
200.0,200,11.364364
153.0,153,11.460496
200.0,200,11.570029
200.0,200,11.665755
200.0,200,11.778069
200.0,200,13.588703
200.0,200,13.723725
200.0,200,13.836859
200.0,200,14.038302
200.0,200,14.14205
200.0,200,14.256337
200.0,200,14.408917
200.0,200,14.52205
200.0,200,14.636768
